time,city,area,current_speed,free_speed,confidence,lat,lon
2026-03-31 18:57:27.693494,Delhi,Connaught Place,13,22,1,28.6315,77.2167
2026-03-31 18:57:29.598719,Delhi,Connaught Place,13,22,1,28.6315,77.2167
2026-03-31 18:57:31.410033,Delhi,Connaught Place,13,22,1,28.6315,77.2167
2026-03-31 18:57:33.316411,Delhi,Connaught Place,13,22,1,28.6315,77.2167
2026-03-31 18:57:35.225580,Delhi,Connaught Place,13,22,1,28.6315,77.2167
2026-03-31 18:57:37.177300,Delhi,Connaught Place,13,22,1,28.6315,77.2167
2026-03-31 18:57:39.182192,Delhi,Connaught Place,13,22,1,28.6315,77.2167
2026-03-31 18:57:41.107080,Delhi,Connaught Place,13,22,1,28.6315,77.2167
2026-03-31 18:57:43.071694,Delhi,Connaught Place,13,22,1,28.6315,77.2167
2026-03-31 18:57:44.915711,Delhi,Connaught Place,13,22,1,28.6315,77.2167
2026-03-31 18:57:46.911982,Delhi,Connaught Place,15,24,1,28.6315,77.2167
2026-03-31 18:57:48.847528,Delhi,Connaught Place,15,24,1,28.6315,77.2167
2026-03-31 18:57:51.162025,Delhi,Connaught Place,15,24,1,28.6315,77.2167
2026-03-31 18:57:53.272664,Delhi,Connaught Place,15,24,1,28.6315,77.2167
2026-03-31 18:57:55.119466,Delhi,Connaught Place,15,24,1,28.6315,77.2167
2026-03-31 18:57:57.011904,Delhi,Connaught Place,15,24,1,28.6315,77.2167
2026-03-31 18:57:58.889498,Delhi,Connaught Place,15,24,1,28.6315,77.2167
2026-03-31 18:58:00.768395,Delhi,Connaught Place,15,24,1,28.6315,77.2167
2026-03-31 18:58:02.960034,Delhi,Connaught Place,15,24,1,28.6315,77.2167
2026-03-31 18:58:05.014525,Delhi,Connaught Place,15,24,1,28.6315,77.2167
2026-03-31 18:58:06.974945,Delhi,Connaught Place,15,24,1,28.6315,77.2167
2026-03-31 18:58:08.796434,Delhi,Connaught Place,15,24,1,28.6315,77.2167
